domain,code,measure
Money & Markets,teiis180,Turnover in industry - consumer durables
Money & Markets,teiis190,Turnover in industry - consumer non-durables
Money & Markets,teiis200,Retail trade turnover - total
Money & Markets,teiis210,"Retail trade turnover - food, beverages and tobacco"
Money & Markets,teiis220,Retail trade turnover - non food
Money & Markets,teiis230,Retail trade turnover - automotive fuel
Money & Markets,teiis240,Retail trade volume of sales - total
Money & Markets,teiis250,"Retail trade volume of sales - food, beverages and tobacco"
Money & Markets,teiis260,Retail trade volume of sales - non food
Money & Markets,teiis270,Retail trade volume of sales - automotive fuel
Money & Markets,teiis500,Production in construction
Money & Markets,teilm100,Labour cost index by NACE Rev. 2
Money & Markets,teimf040,3-month-interest rate
Money & Markets,teimf050,Long term government bond yields
Money & Markets,teimf060,"Euro yield curve by maturity (1, 5 and 10 years)"
Money & Markets,teimf100,Day-to-day money market interest rates
Money & Markets,teimf200,Euro/national currency exchange rates
Money & Markets,teimf250,Real effective exchange rate - 42 trading partners
Money & Markets,teina010,"Gross domestic product, current prices"
Money & Markets,teina011,"Gross domestic product, volumes"
Money & Markets,teina020,"Final consumption expenditure of households and NPISH, current prices"
Money & Markets,teina021,"Final consumption expenditure of households and NPISH, volumes"
Money & Markets,teina030,"Government final consumption expenditure, current prices"
Money & Markets,teina031,"Government final consumption expenditure, volumes"
Money & Markets,teina040,"Gross fixed capital formation, current prices"
Money & Markets,teina041,"Gross fixed capital formation, volumes"
Money & Markets,teina050,"External balance of goods and services, current prices"
Money & Markets,teina080,Gross national income
Money & Markets,teina100,Gross saving
Money & Markets,teina110,GDP deflator
Money & Markets,teina200,General government deficit (-) and surplus (+) - annual data
Money & Markets,teina205,General government deficit (-) and surplus (+) - quarterly data
Money & Markets,teina210,General government gross fixed capital formation - annual data
Money & Markets,teina225,General government gross debt - annual data
Money & Markets,teina230,General government gross debt - quarterly data
Money & Markets,teina400_r2,Gross value added - NACE Rev. 2: - current prices
Money & Markets,teina402_r2,Gross value added - NACE Rev. 2: - volumes
Money & Markets,teina404_r2,Gross value added - NACE Rev. 2: A - current prices
Money & Markets,teina406_r2,Gross value added - NACE Rev. 2: A - volumes
Money & Markets,teina408_r2,Gross value added - NACE Rev. 2: B-E - current prices
Money & Markets,teina410_r2,Gross value added - NACE Rev. 2: B-E - volumes
Money & Markets,teina412_r2,Gross value added - NACE Rev. 2: C - current prices
Money & Markets,teina414_r2,Gross value added - NACE Rev. 2: C - volumes
Money & Markets,teina416_r2,Gross value added - NACE Rev. 2: F - current prices
Money & Markets,teina418_r2,Gross value added - NACE Rev. 2: F - volumes
Money & Markets,teina420_r2,Gross value added - NACE Rev. 2: G-I - current prices
Money & Markets,teina422_r2,Gross value added - NACE Rev. 2: G-I - volumes
Money & Markets,teina424_r2,Gross value added - NACE Rev. 2: J - current prices
Money & Markets,teina426_r2,Gross value added - NACE Rev. 2: J - volumes
Money & Markets,teina428_r2,Gross value added - NACE Rev. 2: K - current prices
Money & Markets,teina430_r2,Gross value added - NACE Rev. 2: K - volumes
Money & Markets,teina432_r2,Gross value added - NACE Rev. 2: L - current prices
Money & Markets,teina434_r2,Gross value added - NACE Rev. 2: L - volumes
Money & Markets,teina436_r2,Gross value added - NACE Rev. 2: M_N - current prices
Money & Markets,teina438_r2,Gross value added - NACE Rev. 2: M_N - volumes
Money & Markets,teina440_r2,Gross value added - NACE Rev. 2: O-Q - current prices
Money & Markets,teina442_r2,Gross value added - NACE Rev. 2: O-Q - volumes
Money & Markets,teina444_r2,Gross value added - NACE Rev. 2: R-U - current prices
Money & Markets,teina446_r2,Gross value added - NACE Rev. 2: R-U - volumes
Money & Markets,teina500,Household saving rate
Money & Markets,teina510,Households investment rate
Money & Markets,teina515,Investment rate of non-financial corporations
Money & Markets,teina520,Profit share of non-financial corporations
Money & Markets,ten00117,Electricity prices by type of user
Money & Markets,ten00118,Gas prices by type of user
Money & Markets,ten00119,Market share of the largest generator in the electricity market
Money & Markets,ten00120,Implicit tax rate on energy
Money & Markets,ten00139,Energy taxes
Money & Markets,ten00141,Environmental tax revenues
Money & Markets,tepsr_sp110,General government expenditure by function
Money & Markets,tepsr_sp310,Out-of-pocket expenditure on healthcare
Money & Markets,tepsr_wc310,The real gross disposable income of households per capita (index =
Money & Markets,tesem160,Labour productivity per person employed and hour worked (EU27_2020=100)
Money & Markets,tet00001,"Trade volume indices, by reporting country"
Money & Markets,tet00002,"International trade, by reporting country, total product"
Money & Markets,tet00003,Exports of goods and services in % of GDP
Money & Markets,tet00004,Imports of goods and services in % of GDP
Money & Markets,tet00011,"Intra-EU27 (from trade, by Member State, total product"
Money & Markets,tet00012,"Extra-EU27 (from trade, by Member State, total product"
Money & Markets,tet00013,"Extra-EU27 (from trade, by product group"
Money & Markets,tet00028,"Trade unit value indices, by reporting country"
Money & Markets,tet00037,Share of trade with the EU27 (from
Money & Markets,tet00038,"International trade of and enlargement countries, by reporting country, total product"
Money & Markets,tet00065,"Extra-euro area trade, by main partners, total product"
Money & Markets,tet00066,"Extra-euro area trade, by product group"
Money & Markets,tet00071,"Trade in goods, by main world traders - EU27 (from"
Money & Markets,tin00074,Percentage of the ICT sector in Gross value added
Money & Markets,tin00085,Percentage of the ICT personnel on total employment
Money & Markets,tin00086,Percentage change of value added by ICT sector at current prices
Money & Markets,tin00110,Share of enterprises' turnover on e-commerce - %
Money & Markets,tin00140,High-tech exports
Money & Markets,tipsbd10,"Gross non-performing loans, domestic and foreign entities - % of gross loans"
Money & Markets,tipsbd20,"Consolidated banking leverage, domestic and foreign entities (asset-to-equity multiple)"
Money & Markets,tipsbd30,Tier-1 capital ratio banking sector
Money & Markets,tipsbd40,Return on equity of banks
Money & Markets,tipsbp10,Current account balance - 3 year average
Money & Markets,tipsbp100,"Direct investment liabilities (stocks) - annual data, % of GDP"
Money & Markets,tipsbp17,Capital account - annual data
Money & Markets,tipsbp18,Financial account - annual data
Money & Markets,tipsbp20,Current account balance - annual data
Money & Markets,tipsbp22,"Direct investment abroad, main components - annual data, million units of national currency"
Money & Markets,tipsbp70,Net Lending/Borrowing (current and capital account) - annual data
Money & Markets,tipsbp90,"Direct investment liabilities (flows) - annual data, % of GDP"
Money & Markets,tipsen10,Net trade balance of energy products - % of GDP
Money & Markets,tipser10,"Real effective exchange rate – percentage changes, 42 trading partners"
Money & Markets,tipser11,Nominal effective exchange rate – 42 trading partners
Money & Markets,tipser12,Nominal effective exchange rate – euro area trading partners
Money & Markets,tipser13,"Real effective exchange rate – index, 42 trading partners"
Money & Markets,tipser20,Real effective exchange rate – euro area trading partners
Money & Markets,tipsex10,Export market shares - 3 years % change
Money & Markets,tipsex11,Export market shares by items - 1 year % change
Money & Markets,tipsex12,"Exports of high technology products as a share of total exports, SITC Rev. 4 - %"
Money & Markets,tipsex13,Export market shares in volume
Money & Markets,tipsex20,Export market shares by items - % of world total
Money & Markets,tipsfs10,"financial sector liabilities, non-consolidated - annual data"
Money & Markets,tipsfs20,"Financial sector leverage (debt to equity), non-consolidated - %"
Money & Markets,tipsfs30,"financial sector liabilities, consolidated"
Money & Markets,tipsgo10,"General government gross debt (EDP concept), consolidated - annual data"
Money & Markets,tipsho10,"House price index, deflated - annual data"
Money & Markets,tipsho20,House price index - annual data
Money & Markets,tipsho30,"House price index, deflated - quarterly data"
Money & Markets,tipsho40,House price index - quarterly data
Money & Markets,tipsii10,Net international investment position - annual data
Money & Markets,tipsii12,"Direct investment - annual data, million units of national currency"
Money & Markets,tipsii15,"Portfolio investement - annual data, million units of national currency"
Money & Markets,tipsii18,"Financial derivatives and employee stock options - annual data, million units of national currency"
